id,programId,recordId,blockchainTimestamp,serverTimestamp,marketIndex,fundingRate,cumulativeFundingRateLong,cumulativeFundingRateShort,oraclePriceTwap,markPriceTwap,historyIndex
4,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,2052,1639180821,1639586861855,0,2387032672083,-3464347253357,-644420503818525,1716251189790,1721980068203,3
12,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,2057,1639184415,1639586862379,0,1472934561666,-1991412691691,-642947569256859,1678957128914,1682492171862,8
22,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,2062,1639188013,1639586862987,0,854912776666,-1136499915025,-642092656480193,1680282479395,1682334270059,13
30,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,2066,1639191604,1639586863327,0,1255573049166,119073134141,-640837083431027,1680672358030,1683685733348,17
44,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,2073,1639195226,1639586863826,0,304238324583,423311458724,-640532845106444,1695572648236,1696302820215,24
52,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,2077,1639198824,1639586864087,0,14631986666,437943445390,-640518213119778,1699620526125,1699655642893,28
60,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,2081,1639202425,1639586864376,0,-326296889166,111646556224,-640844510008944,1704850069358,1704066956824,32
76,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,2089,1639206026,1639586864927,0,1045681222500,1157327778724,-639798828786444,1702446900558,1704956535492,40
82,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,2092,1639209625,1639586865120,0,1462035844166,2619363622890,-638336792942278,1694161443479,1697670329505,43
88,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,2095,1639213203,1639586865330,0,1278144685416,3897508308306,-637058648256862,1702890006802,1705957554047,46
102,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,2102,1639216817,1639586865786,0,1261641114583,5159149422889,-635797007142279,1708793190374,1711821129049,53
