oracle_price,bid_impact_price,ask_impact_price,funding_rate,next_funding_rate,created_at
153.044,0,1000000000000,0.0001,0.0000125,1748883596695
153.656,0,1000000000000,0.0000125,0.0000125,1748887196694
153.196,0,1000000000000,0.0000125,0.0000125,1748890796694
152.906,0,1000000000000,0.0000125,0.0000125,1748894395325
154.31,0,1000000000000,0.0000125,0.0000125,1748897995325
155.412,0,1000000000000,0.0000125,0.0000125,1748901595143
156.174,0,1000000000000,0.0000125,0.0000125,1748905195143
156.826,0,1000000000000,0.0000125,0.0000125,1748908795144
158.884,0,1000000000000,0.0000125,0.0000125,1748912395144
161.95,0,1000000000000,0.0000125,0.0000125,1748915995143
159.856,0,1000000000000,0.0000125,0.0000125,1748919595143
159.432,0,1000000000000,0.0000125,0.0000125,1748923195144
158.394,0,1000000000000,0.0000125,0.0000125,1748926795144
159.514,0,1000000000000,0.0000125,0.0000125,1748930395143
159.914,0,1000000000000,0.0000125,0.0000125,1748933995143
159.774,0,1000000000000,0.0000125,0.0000125,1748937595143
159.262,0,1000000000000,0.0000125,0.0000125,1748941195143
159.918,0,1000000000000,0.0000125,0.0000125,1748944795143
161.238,0,1000000000000,0.0000125,0.0000125,1748948395143
160.598,0,1000000000000,0.0000125,0.0000125,1748951995143
161.16,0,1000000000000,0.0000125,0.0000125,1748955595143
160.75,0,1000000000000,0.0000125,0.0000125,1748959195143
163.298,0,1000000000000,0.0000125,0.0000125,1748962795143
162.208,0,1000000000000,0.0000125,0.0000125,1748966395143
160.674,0,1000000000000,0.0000125,0.0000125,1748969995143
161.168,0,1000000000000,0.0000125,0.0000125,1748973595144
160.392,0,1000000000000,0.0000125,0.0000125,1748977195144
160.556,0,1000000000000,0.0000125,0.0000125,1748980795143
157.668,0,1000000000000,0.0000125,0.0000125,1748984395144
154.912,0,1000000000000,0.0000125,0.0000125,1748987995144
155.834,0,1000000000000,0.0000125,0.0000125,1748991595143
155.196,0,1000000000000,0.0000125,0.0000125,1748995195143
155.412,0,1000000000000,0.0000125,0.0000125,1748998795143
156.834,0,1000000000000,0.0000125,0.0000125,1749002395144
156.034,0,1000000000000,0.0000125,0.0000125,1749005995143
156.55,0,1000000000000,0.0000125,0.0000125,1749009595144
156.426,0,1000000000000,0.0000125,0.0000125,1749013195144
156.47,0,1000000000000,0.0000125,0.0000125,1749016795143
156.462,0,1000000000000,0.0000125,0.0000125,1749020395144
156.438,0,1000000000000,0.0000125,0.0000125,1749023995143
156.69,0,1000000000000,0.0000125,0.0000125,1749027595144
157.534,0,1000000000000,0.0000125,0.0000125,1749031195143
156.64,0,1000000000000,0.0000125,0.0000125,1749034795143
155.906,0,1000000000000,0.0000125,0.0000125,1749038395144
155.714,0,1000000000000,0.0000125,0.0000125,1749041995143
155.736,0,1000000000000,0.0000125,0.0000125,1749045595143
156.854,0,1000000000000,0.0000125,0.0000125,1749049195143
157.09,0,1000000000000,0.0000125,0.0000125,1749052795143
157.356,0,1000000000000,0.0000125,0.0000125,1749056395143
156.068,0,1000000000000,0.0000125,0.0000125,1749059995143
155.628,0,1000000000000,0.0000125,0.0000125,1749063596349
155.36,0,1000000000000,0.0000125,0.0000125,1749067196350
154.524,0,1000000000000,0.0000125,0.0000125,1749070796349
155.076,0,1000000000000,0.0000125,0.0000125,1749074396349
153.534,0,1000000000000,0.0000125,0.0000125,1749077996349
153.216,0,1000000000000,0.0000125,0.0000125,1749081596350
153.848,0,1000000000000,0.0000125,0.0000125,1749085196350
153.304,0,1000000000000,0.0000125,0.0000125,1749088796350
153.526,0,1000000000000,0.0000125,0.0000125,1749092396350
153.84,0,1000000000000,0.0000125,0.0000125,1749095996350
153.98,0,1000000000000,0.0000125,0.0000125,1749099596350
152.464,0,1000000000000,0.0000125,0.0000125,1749103196349
152.16,0,1000000000000,0.0000125,0.0000125,1749106796350
152.422,0,1000000000000,0.0000125,0.0000125,1749110396349
152.052,0,1000000000000,0.0000125,0.0000125,1749113996349
153.01,0,1000000000000,0.0000125,0.0000125,1749117596350
151.926,0,1000000000000,0.0000125,0.0000125,1749121196350
152.374,0,1000000000000,0.0000125,0.0000125,1749124796350
153.914,0,1000000000000,0.0000125,0.0000125,1749128396350
150.372,0,1000000000000,0.0000125,0.0000125,1749131996349
151.238,0,1000000000000,0.0000125,0.0000125,1749135596350
150.89,0,1000000000000,0.0000125,0.0000125,1749139196350
148.684,0,1000000000000,0.0000125,0.0000125,1749142796349
149.49,0,1000000000000,0.0000125,0.0000125,1749146398856
149.452,0,1000000000000,0.0000125,0.0000125,1749149998856
146.188,0,1000000000000,0.0000125,0.0000125,1749153598856
141.78,0,1000000000000,0.0000125,0.0000125,1749157198856
144.298,0,1000000000000,0.0000125,0.0000125,1749160798856
144.468,0,1000000000000,0.0000125,0.0000125,1749164397811
144.29,0,1000000000000,0.0000125,0.0000125,1749167997811
145.43,0,1000000000000,0.0000125,0.0000125,1749171597812
145.518,0,1000000000000,0.0000125,0.0000125,1749175197811
146.58,0,1000000000000,0.0000125,0.0000125,1749178797811
146.836,0,1000000000000,0.0000125,0.0000125,1749182397811
147.554,0,1000000000000,0.0000125,0.0000125,1749185997812
147.505,0,1000000000000,0.0000125,0.0000125,1749189597811
147.12,0,1000000000000,0.0000125,0.0000125,1749193197811
147.518,0,1000000000000,0.0000125,0.0000125,1749194617811
149.106,0,1000000000000,0.0000125,0.0000125,1749211198571
150.614,0,1000000000000,0.0000125,0.0000125,1749214798571
150.778,0,1000000000000,0.0000125,0.0000125,1749218398572
151.304,0,1000000000000,0.0000125,0.0000125,1749221998572
151.072,0,1000000000000,0.0000125,0.0000125,1749225598571
150.076,0,1000000000000,0.0000125,0.0000125,1749229198572
150.102,0,1000000000000,0.0000125,0.0000125,1749232798571
148.926,0,1000000000000,0.0000125,0.0000125,1749236398572
149.114,0,1000000000000,0.0000125,0.0000125,1749239998571
149.342,0,1000000000000,0.0000125,0.0000125,1749243598572
149.214,0,1000000000000,0.0000125,0.0000125,1749247198571
148.498,0,1000000000000,0.0000125,0.0000125,1749250798572
147.83,0,1000000000000,0.0000125,0.0000125,1749254399074
148.676,0,1000000000000,0.0000125,0.0000125,1749257999074
147.718,0,1000000000000,0.0000125,0.0000125,1749261599074
148.324,0,1000000000000,0.0000125,0.0000125,1749265199074
149.474,0,1000000000000,0.0000125,0.0000125,1749268799074
149.77,0,1000000000000,0.0000125,0.0000125,1749272399074
150.9,0,1000000000000,0.0000125,0.0000125,1749275999074
152.088,0,1000000000000,0.0000125,0.0000125,1749279599074
152.37,0,1000000000000,0.0000125,0.0000125,1749283199073
151.86,0,1000000000000,0.0000125,0.0000125,1749286799074
151.484,0,1000000000000,0.0000125,0.0000125,1749290399073
151.854,0,1000000000000,0.0000125,0.0000125,1749293999074
151.448,0,1000000000000,0.0000125,0.0000125,1749297599074
152.128,0,1000000000000,0.0000125,0.0000125,1749301199074
151.824,0,1000000000000,0.0000125,0.0000125,1749304799074
151.474,0,1000000000000,0.0000125,0.0000125,1749308399074
150.992,0,1000000000000,0.0000125,0.0000125,1749311999074
150.718,0,1000000000000,0.0000125,0.0000125,1749315599074
150.32,0,1000000000000,0.0000125,0.0000125,1749319199074
150.578,0,1000000000000,0.0000125,0.0000125,1749322799074
150.58,0,1000000000000,0.0000125,0.0000125,1749326399074
150.882,0,1000000000000,0.0000125,0.0000125,1749329999074
151.214,0,1000000000000,0.0000125,0.0000125,1749333599074
151.08,0,1000000000000,0.0000125,0.0000125,1749337199074
150.064,0,1000000000000,0.0000125,0.0000125,1749340799074
149.466,0,1000000000000,0.0000125,0.0000125,1749344399074
150.296,0,1000000000000,0.0000125,0.0000125,1749347999074
149.758,0,1000000000000,0.0000125,0.0000125,1749351599074
149.862,0,1000000000000,0.0000125,0.0000125,1749355199074
150.062,0,1000000000000,0.0000125,0.0000125,1749358799074
149.878,0,1000000000000,0.0000125,0.0000125,1749362399074
149.908,0,1000000000000,0.0000125,0.0000125,1749365999074
149.298,0,1000000000000,0.0000125,0.0000125,1749369599074
149.02,0,1000000000000,0.0000125,0.0000125,1749373199074
148.435,0,1000000000000,0.0000125,0.0000125,1749376799074
