vault,date,apy24h,volume24hUsd,feesAndRewards24hUsd,cumulativeFeesAndRewardsUsd,stakingYieldA,stakingYieldB
meteora,2024-05-17T15:00:00.000Z,0,0,0,0,,
meteora,2024-05-17T16:00:00.000Z,0,0,0,0,,
meteora,2024-05-17T17:00:00.000Z,0,0,0,0,,
meteora,2024-05-17T18:00:00.000Z,0,0,0,0,,
meteora,2024-05-17T19:00:00.000Z,0,0,0,0,,
meteora,2024-05-17T20:00:00.000Z,0,0,0,0,,
meteora,2024-05-17T21:00:00.000Z,0,0,0,0,,
meteora,2024-05-17T22:00:00.000Z,0,0,0,0,,
meteora,2024-05-17T23:00:00.000Z,0,0,0,0,,
meteora,2024-05-18T00:00:00.000Z,0,0,0,0,,
meteora,2024-05-18T01:00:00.000Z,0,0,0,0,,
meteora,2024-05-18T02:00:00.000Z,0.044032165787432395242972163152084983349,112.1657032515,0.0101509961,0,,
meteora,2024-05-18T03:00:00.000Z,0.04029011934296121809899818275716971791,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T04:00:00.000Z,0.037134221572238307856581771398629315104,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T05:00:00.000Z,0.032104632586113132484158229581059147452,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T06:00:00.000Z,0.030068316872544124761402417626890438646,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T07:00:00.000Z,0.030068316872544124761402417626890438646,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T08:00:00.000Z,0.026683357050436579412346023425445233898,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T09:00:00.000Z,0.026683357050436579412346023425445233898,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T10:00:00.000Z,0.02526143162073807755707009019902142273,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T11:00:00.000Z,0.023983377975632185290337702349081606551,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T12:00:00.000Z,0.022828412827406802236727952883274670939,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T13:00:00.000Z,0.021779571899304917768069933318748929005,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T14:00:00.000Z,0.020822871282619789377133139840553123309,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T15:00:00.000Z,0.01994668049070929472850954756647975278,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T16:00:00.000Z,0.019141247369180702366190188360538433867,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T17:00:00.000Z,0.019141247369180702366190188360538433867,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T18:00:00.000Z,0.019141247369180702366190188360538433867,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T19:00:00.000Z,0.019141247369180702366190188360538433867,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T20:00:00.000Z,0.019141247369180702366190188360538433867,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T21:00:00.000Z,0.019141247369180702366190188360538433867,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T22:00:00.000Z,0.019141247369180702366190188360538433867,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-18T23:00:00.000Z,0.019141247369180702366190188360538433867,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-19T00:00:00.000Z,0.019141247369180702366190188360538433867,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-19T01:00:00.000Z,0.019141247369180702366190188360538433867,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-19T02:00:00.000Z,0.019141247369180702366190188360538433867,112.1657032515,0.0101509961,0.01015099614425856047628418932694,,
meteora,2024-05-19T03:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T04:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T05:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T06:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T07:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T08:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T09:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T10:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T11:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T12:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T13:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T14:00:00.000Z,0,0,0,0.01015099614425856047628418932694,,
meteora,2024-05-19T15:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.01015099614425856047628418932694,,
meteora,2024-05-19T16:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-19T17:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-19T18:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-19T19:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-19T20:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-19T21:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-19T22:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-19T23:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-20T00:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-20T01:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-20T02:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-20T03:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-20T04:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-20T05:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-20T06:00:00.000Z,0.019820549852538322065106018910462914652,115.0439678519,0.0104114791,0.02056247523485760204205863296614,,
meteora,2024-05-20T07:00:00.000Z,0.059895723553628786052069746895905959988,353.4747347032,0.0319894635,0.02056247523485760204205863296614,,
meteora,2024-05-20T08:00:00.000Z,0.059895723553628786052069746895905959988,353.4747347032,0.0319894635,0.04214045963490194281367450794564,,
meteora,2024-05-20T09:00:00.000Z,0.059895723553628786052069746895905959988,353.4747347032,0.0319894635,0.04214045963490194281367450794564,,
meteora,2024-05-20T10:00:00.000Z,0.059895723553628786052069746895905959988,353.4747347032,0.0319894635,0.04214045963490194281367450794564,,
meteora,2024-05-20T11:00:00.000Z,0.059895723553628786052069746895905959988,353.4747347032,0.0319894635,0.04214045963490194281367450794564,,
meteora,2024-05-20T12:00:00.000Z,0.059895723553628786052069746895905959988,353.4747347032,0.0319894635,0.04214045963490194281367450794564,,
meteora,2024-05-20T13:00:00.000Z,0.059895723553628786052069746895905959988,353.4747347032,0.0319894635,0.04214045963490194281367450794564,,
meteora,2024-05-20T14:00:00.000Z,0.059895723553628786052069746895905959988,353.4747347032,0.0319894635,0.04214045963490194281367450794564,,
meteora,2024-05-20T15:00:00.000Z,0.059895723553628786052069746895905959988,353.4747347032,0.0319894635,0.04214045963490194281367450794564,,
meteora,2024-05-20T16:00:00.000Z,0.04869018073727242954289133344432236759,343.4852662882,0.0310854166,0.04214045963490194281367450794564,,
meteora,2024-05-20T18:00:00.000Z,0.04869018073727242954289133344432236759,343.4852662882,0.0310854166,0.05164789183393836615587890411689,,
meteora,2024-05-20T19:00:00.000Z,0.04869018073727242954289133344432236759,343.4852662882,0.0310854166,0.05164789183393836615587890411689,,
meteora,2024-05-20T20:00:00.000Z,0.04869018073727242954289133344432236759,343.4852662882,0.0310854166,0.05164789183393836615587890411689,,
meteora,2024-05-20T21:00:00.000Z,0.04869018073727242954289133344432236759,343.4852662882,0.0310854166,0.05164789183393836615587890411689,,
meteora,2024-05-20T22:00:00.000Z,0.065909410074881354041842595896756201499,541.6561383922,0.0490198805,0.05164789183393836615587890411689,,
meteora,2024-05-20T23:00:00.000Z,0.065909410074881354041842595896756201499,541.6561383922,0.0490198805,0.06958235575935460210161133208489,,
meteora,2024-05-21T00:00:00.000Z,0.065909410074881354041842595896756201499,541.6561383922,0.0490198805,0.06958235575935460210161133208489,,
meteora,2024-05-21T01:00:00.000Z,0.065909410074881354041842595896756201499,541.6561383922,0.0490198805,0.06958235575935460210161133208489,,
meteora,2024-05-21T02:00:00.000Z,0.101332668671725490019972187811024229207,942.1119553079,0.085261132,0.06958235575935460210161133208489,,
meteora,2024-05-21T03:00:00.000Z,0.101332668671725490019972187811024229207,942.1119553079,0.085261132,0.10582360719022011095259563216489,,
meteora,2024-05-21T04:00:00.000Z,0.101332668671725490019972187811024229207,942.1119553079,0.085261132,0.10582360719022011095259563216489,,
meteora,2024-05-21T05:00:00.000Z,0.101332668671725490019972187811024229207,942.1119553079,0.085261132,0.10582360719022011095259563216489,,
meteora,2024-05-21T06:00:00.000Z,0.101332668671725490019972187811024229207,942.1119553079,0.085261132,0.10582360719022011095259563216489,,
meteora,2024-05-21T07:00:00.000Z,0.101332668671725490019972187811024229207,942.1119553079,0.085261132,0.10582360719022011095259563216489,,
meteora,2024-05-21T08:00:00.000Z,0.069957565637352704031147789748211783641,819.4607575722,0.0741611986,0.10582360719022011095259563216489,,
meteora,2024-05-21T09:00:00.000Z,0.069957565637352704031147789748211783641,819.4607575722,0.0741611986,0.11630165819518910679732694990425,,
meteora,2024-05-21T10:00:00.000Z,0.069957565637352704031147789748211783641,819.4607575722,0.0741611986,0.11630165819518910679732694990425,,
meteora,2024-05-21T11:00:00.000Z,0.069957565637352704031147789748211783641,819.4607575722,0.0741611986,0.11630165819518910679732694990425,,
meteora,2024-05-21T12:00:00.000Z,0.069957565637352704031147789748211783641,819.4607575722,0.0741611986,0.11630165819518910679732694990425,,
meteora,2024-05-21T13:00:00.000Z,0.069957565637352704031147789748211783641,819.4607575722,0.0741611986,0.11630165819518910679732694990425,,
meteora,2024-05-21T14:00:00.000Z,0.069957565637352704031147789748211783641,819.4607575722,0.0741611986,0.11630165819518910679732694990425,,
meteora,2024-05-21T15:00:00.000Z,0.069957565637352704031147789748211783641,819.4607575722,0.0741611986,0.11630165819518910679732694990425,,
meteora,2024-05-21T16:00:00.000Z,0.092392581166142564114527858756247563624,1063.1970429036,0.0962193324,0.11630165819518910679732694990425,,
meteora,2024-05-21T17:00:00.000Z,0.092939467051798543958534354166433115038,1069.289052639,0.0967706593,0.13835979201767612281350118740425,,
meteora,2024-05-21T18:00:00.000Z,0.092939467051798543958534354166433115038,1069.289052639,0.0967706593,0.14841855109776781522270580841425,,
meteora,2024-05-21T19:00:00.000Z,0.092939467051798543958534354166433115038,1069.289052639,0.0967706593,0.14841855109776781522270580841425,,
meteora,2024-05-21T20:00:00.000Z,0.092939467051798543958534354166433115038,1069.289052639,0.0967706593,0.14841855109776781522270580841425,,
meteora,2024-05-21T21:00:00.000Z,0.092939467051798543958534354166433115038,1069.289052639,0.0967706593,0.14841855109776781522270580841425,,
meteora,2024-05-21T22:00:00.000Z,0.106217847059039781988522344963775895863,1211.6213897775,0.1096517358,0.14841855109776781522270580841425,,
meteora,2024-05-21T23:00:00.000Z,0.088349257748915165870332835180997865496,1013.4505176734,0.0917172718,0.16129962760880006176674960042425,,
meteora,2024-05-22T00:00:00.000Z,0.088349257748915165870332835180997865496,1013.4505176734,0.0917172718,0.16129962760880006176674960042425,,
meteora,2024-05-22T01:00:00.000Z,0.088349257748915165870332835180997865496,1013.4505176734,0.0917172718,0.16129962760880006176674960042425,,
meteora,2024-05-22T02:00:00.000Z,0.088349257748915165870332835180997865496,1013.4505176734,0.0917172718,0.16129962760880006176674960042425,,
meteora,2024-05-22T03:00:00.000Z,0.107929583917869346690325757527855414618,1220.7960607875,0.1104820435,0.16129962760880006176674960042425,,
meteora,2024-05-22T04:00:00.000Z,0.081138625223747431467324725608704595392,921.1041865044,0.0833599289,0.18918353606887271149349803023353,,
meteora,2024-05-22T05:00:00.000Z,0.081138625223747431467324725608704595392,921.1041865044,0.0833599289,0.18918353606887271149349803023353,,
meteora,2024-05-22T06:00:00.000Z,0.081138625223747431467324725608704595392,921.1041865044,0.0833599289,0.18918353606887271149349803023353,,
meteora,2024-05-22T07:00:00.000Z,0.081138625223747431467324725608704595392,921.1041865044,0.0833599289,0.18918353606887271149349803023353,,
meteora,2024-05-22T08:00:00.000Z,0.090745472535672443041929202289763204838,1027.6545839835,0.0930027399,0.18918353606887271149349803023353,,
meteora,2024-05-22T09:00:00.000Z,0.090745472535672443041929202289763204838,1027.6545839835,0.0930027399,0.19882634704072257023516426073353,,
meteora,2024-05-22T10:00:00.000Z,0.080284103366237124529470095284279020225,911.8750148678,0.0825246888,0.19882634704072257023516426073353,,
meteora,2024-05-22T11:00:00.000Z,0.080284103366237124529470095284279020225,911.8750148678,0.0825246888,0.19882634704072257023516426073353,,
meteora,2024-05-22T12:00:00.000Z,0.080284103366237124529470095284279020225,911.8750148678,0.0825246888,0.19882634704072257023516426073353,,
meteora,2024-05-22T13:00:00.000Z,0.080284103366237124529470095284279020225,911.8750148678,0.0825246888,0.19882634704072257023516426073353,,
meteora,2024-05-22T14:00:00.000Z,0.080284103366237124529470095284279020225,911.8750148678,0.0825246888,0.19882634704072257023516426073353,,
meteora,2024-05-22T15:00:00.000Z,0.091924706159414931208211963134021138823,1039.4300361673,0.0940684183,0.21037007646833072516252404878057,,
meteora,2024-05-22T16:00:00.000Z,0.069499273565860480916133201695333378584,795.693750836,0.0720102845,0.21037007646833072516252404878057,,
meteora,2024-05-22T17:00:00.000Z,0.069499273565860480916133201695333378584,795.693750836,0.0720102845,0.21037007646833072516252404878057,,
meteora,2024-05-22T18:00:00.000Z,0.059391291065724524033067908310023636089,684.5472416637,0.0619515254,0.21037007646833072516252404878057,,
meteora,2024-05-22T19:00:00.000Z,0.059391291065724524033067908310023636089,684.5472416637,0.0619515254,0.21037007646833072516252404878057,,
meteora,2024-05-22T20:00:00.000Z,0.070471299435180741470807408447349819633,807.8327603954,0.0731088648,0.21037007646833072516252404878057,,
meteora,2024-05-22T21:00:00.000Z,0.070471299435180741470807408447349819633,807.8327603954,0.0731088648,0.22152741591355214870493270723057,,
meteora,2024-05-22T22:00:00.000Z,0.070471299435180741470807408447349819633,807.8327603954,0.0731088648,0.22152741591355214870493270723057,,
meteora,2024-05-22T23:00:00.000Z,0.057620850226859415959523486842612131581,665.5004232569,0.0602277883,0.22152741591355214870493270723057,,
meteora,2024-05-23T00:00:00.000Z,0.067566444057347159004366346822932610936,775.4205454127,0.0701755594,0.22152741591355214870493270723057,,
meteora,2024-05-23T01:00:00.000Z,0.067566444057347159004366346822932610936,775.4205454127,0.0701755594,0.23147518696864634143148791548849,,
